UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
333,9676,9676,9676,12344,29.16,0.68,4.01,0.39,-0.08,-0.09,93.04,84.68,4.31,0.42,0.16,0.72,84.66,15.28,10.643,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
126,0,0,0,1122,16.84,0.06,3.32,0.42,0,0,107.4,72.73,3.09,0.39,0.12,0.06,71.59,-9,14.3973,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
612,0,0,0,3437,0,0.12,2.5,0.46,0,-0.08,98.84,74.13,2.53,0.46,0.03,0.12,42.61,-0.83,10.7021,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
500,0,0,0,2934,43.46,1.01,3.73,0.39,0.05,-0.03,95.74,66.01,3.89,0.41,1.29,1.13,74.4,4.96,10.0994,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3500,1513970,1513970,1513970,57390,52.27,0.21,3.29,0.27,0,-0.03,94.52,58.89,3.48,0.28,0.26,0.21,86.9,-1.56,12.9148,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
100,0,0,0,523,0,0,3.35,0.29,0.07,0,95.26,72.63,3.52,0.31,0,0,85.41,3.2,7.4336,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1031,0,0,0,3948,90.43,1.68,4.3,0.33,0.21,-0.24,99.53,69.03,4.32,0.33,2.16,1.68,65.93,11.47,11.0041,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
516,0,0,0,4570,38.07,0.29,3.82,0.29,0.15,0.32,90.87,64.53,4.21,0.32,3.33,0.29,70.77,1.68,9.1178,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
50,0,0,0,2314,0,0.43,3.59,0.37,0.07,-0.13,94.22,67.63,3.81,0.39,0.22,0.43,82.28,1.58,8.7459,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7535,94861,94861,94861,115415,28.59,0.05,3.12,0.12,-0.19,0,97.53,92.09,3.2,0.12,0.09,0.05,64.11,-0.96,8.3383,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
900,10810,10810,10810,29757,44.45,0.17,3.65,0.35,0.04,0,93.75,67.23,3.89,0.37,0.14,0.2,84.14,18.07,9.2223,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1497,0,0,0,6248,16.41,0.02,3.37,0.48,0.14,0,95.93,64.94,3.51,0.5,0,0.02,75.94,-2.06,10.3138,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,3161,0,0.3,3.7,0.56,0,0,94.78,77.95,3.91,0.59,0.58,0.46,88.55,-8.49,16.0263,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
75,0,0,0,-764,0,0.72,5.14,1.05,0.57,0,82.79,61.06,6.21,1.27,2.55,0.72,70.78,15.61,14.864,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
